|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        11820.9        3036.91        1002.77        50.4470        47.7735        59.6343     
  923.150        11830.9        3036.96        1002.98        50.4470        47.7735        59.6346     
  923.150        11840.9        3037.00        1003.20        50.4470        47.7735        59.6349     
  923.150        11850.9        3037.04        1003.41        50.4470        47.7735        59.6352     
  923.150        11860.9        3037.08        1003.62        50.4470        47.7735        59.6355     
  923.150        11870.9        3037.12        1003.84        50.4470        47.7735        59.6358     
  923.150        11880.9        3037.16        1004.05        50.4470        47.7735        59.6361     
  923.150        11890.9        3037.20        1004.26        50.4470        47.7735        59.6364     
  923.150        11901.0        3037.24        1004.47        50.4470        47.7735        59.6367     
  923.150        11911.0        3037.28        1004.69        50.4470        47.7735        59.6370     
  923.150        11921.0        3037.32        1004.90        50.4470        47.7735        59.6373     
  923.150        11931.0        3037.36        1005.11        50.4470        47.7735        59.6375     
  923.150        11941.0        3037.40        1005.32        50.4470        47.7735        59.6378     
  923.150        11951.0        3037.44        1005.53        50.4470        47.7735        59.6381     
  923.150        11961.0        3037.49        1005.74        50.4470        47.7735        59.6384     
  923.150        11971.0        3037.53        1005.95        50.4470        47.7735        59.6387     
  923.150        11981.0        3037.57        1006.16        50.4470        47.7735        59.6390     
  923.150        11991.0        3037.61        1006.38        50.4470        47.7735        59.6393     
  923.150        12001.0        3037.65        1006.59        50.4470        47.7735        59.6396     
  923.150        12011.0        3037.69        1006.80        50.4470        47.7735        59.6399     
  923.150        12021.0        3037.73        1007.01        50.4470        47.7735        59.6402     
  923.150        12031.0        3037.77        1007.22        50.4470        47.7735        59.6405     
  923.150        12041.0        3037.81        1007.43        50.4470        47.7735        59.6408     
  923.150        12051.0        3037.85        1007.64        50.4470        47.7735        59.6411     
  923.150        12061.0        3037.89        1007.85        50.4470        47.7735        59.6414     
